Ensembl_ID,gene_name,SJALL014946_D1,SJALL014947_D1,SJALL014949_D1,SJALL014950_D1,SJALL014952_D1
ENSG00000213236.3,YWHAZP2,116.5691372,138.813523,187.5703389,84.90838385,99.37186521
ENSG00000136732.16,GYPC,609.6576801,3317.409827,527.0547285,163.4049635,186.7652392
ENSG00000206963.1,RNU6-675P,0,0,0,0,0
ENSG00000237524.11,TEX51,0,0,0,0,0
ENSG00000238788.1,RNU7-182P,0,0,0,0,0
ENSG00000136717.15,BIN1,59.48977791,136.2345302,271.0147662,141.1416873,79.88120862
ENSG00000237630.1,NIFKP9,0,41.70141785,0,0,34.56619426
ENSG00000186684.14,CYP27C1,0,0,0,0,0.208452694
ENSG00000163161.14,ERCC3,302.4336255,519.2208751,239.5415266,246.2373065,268.7044486
ENSG00000169967.17,MAP3K2,182.7096636,604.9322463,314.2610217,237.5728959,210.5721265
ENSG00000200250.1,RNU6-1147P,0,0,0,0,0
ENSG00000236682.4,MAP3K2-DT,11.26501415,13.21141568,31.88909309,33.50530444,14.95220034
ENSG00000115718.18,PROC,3.134378649,4.241475694,0.700486137,0,0.351574791
ENSG00000264075.1,MIR4783,0,0,187.0557426,0,0
ENSG00000163166.15,IWS1,76.63464024,110.4814634,116.2107962,80.80327853,62.3936598
ENSG00000202429.1,RNU4-48P,0,0,0,0,0
ENSG00000169994.20,MYO7B,4.982797721,2.607207003,83.37000723,73.13332186,12.96664167
ENSG00000072163.20,LIMS2,19.52442408,2.747749223,20.76984567,44.79770636,19.9728177
ENSG00000144230.17,GPR17,2.501719932,1.354141982,34.663983,73.80073801,2.806111711
ENSG00000136709.12,WDR33,83.2379405,184.1358358,201.3600053,164.5193972,149.4542332
ENSG00000173349.6,SFT2D3,325.8582064,291.5201921,335.8012704,375.8097216,445.7146918
ENSG00000201470.1,RNY4P7,178.412132,1255.432158,2153.110048,1299.545159,1080.648389
ENSG00000144231.11,POLR2D,298.3106563,269.5370372,239.1743763,291.6901287,298.6725606
ENSG00000202532.1,RNU6-395P,0,0,0,0,0
ENSG00000144233.12,AMMECR1L,239.5738371,461.4109298,198.6002109,169.6852377,290.1276452
ENSG00000136715.19,SAP130,40.76237738,128.5837304,87.78509233,39.91963226,90.21902791
ENSG00000136731.13,UGGT1,182.0204366,108.974426,192.4448501,272.9645618,181.7854211
ENSG00000229758.2,DYNLT3P2,0,0,128.8394146,104.9802637,25.86585965
ENSG00000136720.7,HS6ST1,24.75774546,207.6035382,36.70210725,11.19574796,87.42951487
ENSG00000238379.1,RNA5SP103,0,0,0,0,0
ENSG00000227653.1,ISCA1P6,0,23.58434943,0,15.86848202,19.54900447
ENSG00000204460.3,LINC01854,1.070191163,0,0.47834302,0,0
ENSG00000233428.1,PPIAP65,0,0,0,0,0
ENSG00000229536.3,LINC02572,0,0,1.009370418,0.587464265,0.796092258
ENSG00000291116.1,PLAC9P1,0,0,0,0.305926874,0.094220824
ENSG00000214100.11,PLAC9P1,0,0,0,5.536178929,1.70505891
ENSG00000237574.1,LINC01856,1.440886895,0,0,0,0.323240786
ENSG00000234559.1,RPL22P7,0,0,0,16.72856235,20.6085711
ENSG00000290615.1,RAB6C-AS1,3.664945771,3.967555972,2.730199501,115.2346426,0.274058049
ENSG00000225449.4,RAB6C-AS1,416.7824396,451.1956685,310.4818679,13104.63469,31.16624073
ENSG00000222014.6,RAB6C,5.51730226,2.986429664,9.864267677,289.3518519,4.950887199
ENSG00000231147.2,ARHGAP42P2,0,3.138662992,7.775324231,65.46631019,1.3008147
ENSG00000180178.12,FAR2P1,0,0,1.23675742,0,1.5518249
ENSG00000231240.1,KLF2P1,0,0,0,0,0
ENSG00000248313.1,CYP4F27P,0,0,0,0,0
ENSG00000196604.13,POTEF,0.608729238,0.164747821,0.136041762,1.330186113,0.068279515
ENSG00000252223.1,RNU6-1049P,0,0,0,0,0
ENSG00000290707.1,MED15P9,0,0,0,0,0
ENSG00000223760.5,MED15P9,0,0,0,0,0
ENSG00000152076.19,CCDC74B,5.797555171,100.4200382,28.50464626,15.83591459,39.66806285
ENSG00000136699.20,SMPD4,341.5990945,1099.758866,519.6586053,358.2679986,819.4341951
ENSG00000152082.15,MZT2B,1200.690633,1305.951876,328.5748949,659.0220113,455.8339986
ENSG00000152086.9,TUBA3E,0,0,0,0,1.136026701
ENSG00000230756.1,RHOQP3,27.33734281,14.7972773,0,19.9123855,24.53084754
ENSG00000213225.7,NOC2LP1,12.43062159,0,2.778055583,2.263600846,23.70325752
ENSG00000236595.1,MED15P5,0,0,0,0,0
ENSG00000237722.2,MTND1P29,0,0,0,0,6.22644329
ENSG00000231954.1,MTND2P22,0,0,7.340850364,0,3.684381171
ENSG00000236211.1,MTCO1P7,0,0,0,0,0
ENSG00000230496.1,MTCO2P7,25.48744743,0,11.39211666,0,0
ENSG00000232990.2,MTATP6P7,0,0,11.14081996,0,0
ENSG00000249997.1,MTCO3P7,0,0,0,0,0
ENSG00000230548.1,MTND4P27,0,0,11.19845909,0,0
ENSG00000234934.1,MTND5P29,0,0,0,0,0
ENSG00000248136.1,MTND6P8,0,0,14.54080149,0,0
ENSG00000233550.1,MTCYBP8,0,14.11432604,0,0,0
ENSG00000136710.10,CCDC115,750.3716296,379.2151594,502.2952988,841.8685856,391.7163559
ENSG00000136718.10,IMP4,1262.029236,1609.56003,971.899744,1015.062213,1285.604369
